age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
49,Self-emp,332768,Some-college,12,Married,Admin,Wife,Black,Male,9969,2520,45,United-States,>50K
29,Private,459274,Masters,11,Married,Service,Husband,White,Male,3201,3855,40,Mexico,<=50K
65,Private,376464,Some-college,2,Single,Sales,Not-in-family,Other,Female,349,4648,54,Canada,<=50K
59,Government,237444,Masters,14,Single,Service,Own-child,Black,Male,9759,694,14,Canada,<=50K
44,Government,432515,PhD,2,Married,Admin,Wife,Black,Male,9321,4412,59,United-States,<=50K
27,Private,350716,Some-college,12,Single,Sales,Own-child,Other,Male,9972,4863,53,Mexico,<=50K
63,Private,357613,PhD,8,Married,Tech,Own-child,Other,Male,583,3798,27,United-States,<=50K
69,Government,350072,Bachelors,8,Divorced,Tech,Wife,Black,Female,3377,3683,47,Canada,<=50K
59,Government,476690,Bachelors,10,Single,Exec,Wife,Other,Male,6028,1971,6,United-States,<=50K
49,Government,276285,HS-grad,6,Married,Admin,Wife,Asian,Female,7694,1503,55,Mexico,<=50K
59,Self-emp,164422,Some-college,13,Single,Admin,Wife,Other,Male,6196,3249,44,Canada,>50K
43,Private,478298,PhD,5,Married,Tech,Not-in-family,Other,Female,7083,4218,18,India,<=50K
42,Government,343015,Masters,8,Married,Service,Not-in-family,Other,Female,3401,3242,16,Canada,<=50K
28,Private,146149,Bachelors,4,Single,Sales,Not-in-family,Black,Male,3185,1868,12,India,<=50K
40,Self-emp,56015,Bachelors,11,Divorced,Service,Not-in-family,Asian,Male,5285,1671,20,United-States,<=50K
51,Self-emp,474363,Masters,4,Married,Service,Husband,White,Male,9354,1082,45,United-States,<=50K
69,Government,462396,PhD,5,Married,Tech,Not-in-family,White,Male,6772,1728,64,Mexico,<=50K
57,Self-emp,181929,PhD,1,Married,Tech,Wife,Asian,Female,8490,3851,59,India,<=50K
40,Private,242268,Some-college,1,Divorced,Tech,Own-child,Asian,Female,3347,2142,22,United-States,<=50K
46,Government,200912,Some-college,2,Divorced,Exec,Not-in-family,Asian,Male,788,1148,47,India,<=50K
48,Private,332046,HS-grad,14,Single,Service,Husband,Black,Male,4945,253,29,United-States,<=50K
24,Private,15577,Bachelors,8,Divorced,Admin,Wife,White,Female,2889,4102,45,Canada,<=50K
57,Self-emp,292146,Some-college,7,Single,Sales,Own-child,Asian,Male,9569,3542,77,United-States,<=50K
50,Self-emp,60711,PhD,15,Single,Exec,Own-child,Black,Female,5273,2775,9,Mexico,<=50K
38,Self-emp,49451,Masters,15,Divorced,Admin,Not-in-family,White,Male,3272,4637,24,Canada,<=50K
19,Self-emp,190175,PhD,10,Single,Service,Own-child,Other,Female,9069,3333,15,Mexico,<=50K
35,Self-emp,431863,Bachelors,9,Divorced,Tech,Not-in-family,Black,Female,5234,4184,36,Canada,<=50K
64,Government,44831,PhD,5,Single,Service,Not-in-family,White,Female,9769,3279,13,India,<=50K
50,Private,259402,HS-grad,2,Divorced,Sales,Wife,Black,Female,6902,4308,44,Mexico,<=50K
54,Private,241376,Bachelors,7,Divorced,Exec,Wife,White,Female,7612,2881,71,United-States,<=50K
51,Private,368642,Masters,15,Single,Exec,Husband,White,Male,2492,265,72,India,>50K
37,Private,401093,HS-grad,8,Married,Sales,Wife,Other,Female,6745,2340,78,United-States,<=50K
52,Self-emp,254942,Bachelors,12,Single,Admin,Wife,Black,Male,9574,3148,76,Canada,>50K
68,Private,105119,Masters,7,Divorced,Admin,Not-in-family,Asian,Female,4240,3359,36,Canada,<=50K
67,Government,338974,HS-grad,14,Married,Exec,Wife,Other,Female,2322,1004,61,United-States,>50K
35,Government,352776,HS-grad,7,Single,Exec,Not-in-family,Other,Male,5298,2094,40,United-States,<=50K
63,Private,308977,Bachelors,12,Single,Tech,Not-in-family,White,Male,1861,4717,27,India,<=50K
41,Private,253466,Some-college,15,Single,Admin,Wife,Asian,Male,6620,3271,1,United-States,<=50K
25,Government,233936,HS-grad,14,Married,Sales,Husband,Black,Male,4047,4522,34,Mexico,<=50K
47,Government,296542,HS-grad,5,Divorced,Admin,Husband,Asian,Female,7581,209,68,Mexico,<=50K
61,Self-emp,71554,Masters,2,Single,Tech,Own-child,Asian,Male,7320,887,21,United-States,<=50K
27,Government,60755,PhD,6,Single,Exec,Own-child,Asian,Female,1098,153,33,Mexico,<=50K
40,Self-emp,420922,Bachelors,4,Single,Exec,Wife,Asian,Male,5247,3593,7,United-States,<=50K
69,Self-emp,163412,Bachelors,10,Single,Tech,Husband,Asian,Male,1734,414,65,India,<=50K
66,Self-emp,337138,Some-college,2,Single,Sales,Not-in-family,White,Female,4663,3424,3,Mexico,<=50K
28,Self-emp,73884,Some-college,12,Divorced,Exec,Own-child,White,Female,5909,1284,51,Mexico,<=50K
19,Self-emp,356505,Bachelors,9,Divorced,Service,Not-in-family,Other,Male,3416,3148,79,United-States,<=50K
43,Private,27482,Some-college,7,Single,Exec,Own-child,White,Female,6302,768,54,Mexico,<=50K
53,Government,64225,Masters,6,Married,Service,Wife,Other,Female,7593,982,74,Canada,<=50K
50,Self-emp,199921,Bachelors,12,Divorced,Tech,Husband,Other,Female,680,3202,59,India,>50K
64,Government,84854,Some-college,5,Married,Tech,Own-child,Black,Female,8163,4674,6,India,<=50K
30,Government,51256,Bachelors,3,Divorced,Exec,Husband,Asian,Female,2070,3526,29,Mexico,<=50K
57,Self-emp,250617,PhD,12,Single,Admin,Not-in-family,White,Female,6668,2787,17,Mexico,<=50K
42,Private,118721,HS-grad,15,Divorced,Service,Wife,Black,Female,8001,2210,60,Canada,>50K
21,Self-emp,91110,Bachelors,15,Single,Sales,Husband,White,Female,9921,1038,22,Canada,<=50K
59,Private,123606,HS-grad,10,Divorced,Exec,Wife,Other,Male,2191,3932,24,Mexico,<=50K
36,Government,24650,Some-college,10,Single,Sales,Husband,White,Female,8859,541,51,Mexico,<=50K
35,Private,187190,HS-grad,4,Single,Exec,Not-in-family,Asian,Male,9804,358,50,Canada,<=50K
54,Private,38930,Bachelors,3,Single,Admin,Not-in-family,Other,Female,7586,849,11,United-States,<=50K
47,Private,226779,PhD,12,Single,Admin,Wife,Other,Female,8872,4522,56,Canada,>50K
36,Government,270102,Some-college,11,Married,Admin,Not-in-family,Black,Female,9164,2544,71,United-States,<=50K
40,Government,372544,Bachelors,8,Single,Admin,Own-child,Asian,Female,2846,4581,42,India,<=50K
33,Private,283945,Some-college,3,Married,Tech,Husband,Other,Male,2463,1831,39,India,<=50K
18,Private,61360,Masters,7,Married,Tech,Not-in-family,Asian,Male,6837,1472,69,Canada,<=50K
29,Self-emp,360052,HS-grad,7,Single,Service,Own-child,White,Female,4922,1436,48,United-States,<=50K
41,Private,157631,Masters,7,Married,Sales,Wife,Asian,Male,4392,329,57,Canada,<=50K
51,Self-emp,304478,Bachelors,13,Divorced,Exec,Own-child,Other,Female,3183,4354,21,Canada,<=50K
25,Private,246545,PhD,7,Single,Exec,Wife,Black,Female,3167,4238,20,United-States,<=50K
35,Self-emp,23288,Some-college,14,Married,Tech,Wife,Other,Male,2997,4008,15,Canada,<=50K
65,Government,163470,HS-grad,2,Single,Exec,Husband,Asian,Male,6521,4722,69,India,<=50K
22,Private,217302,Some-college,10,Single,Tech,Husband,Asian,Female,3227,1388,77,Mexico,<=50K
43,Private,284335,Bachelors,3,Single,Service,Own-child,Other,Female,6564,4185,51,Mexico,<=50K
47,Private,290195,Some-college,10,Married,Sales,Husband,Asian,Male,9920,719,76,Canada,<=50K
30,Private,71715,HS-grad,9,Divorced,Service,Husband,White,Female,2024,3235,62,United-States,<=50K
36,Self-emp,20737,Bachelors,3,Divorced,Admin,Husband,Other,Male,329,4576,37,United-States,<=50K
46,Private,75140,Some-college,2,Married,Admin,Own-child,Black,Female,2486,2131,6,India,<=50K
20,Government,166323,PhD,9,Single,Admin,Not-in-family,Other,Female,1155,1100,71,United-States,<=50K
43,Government,192047,Bachelors,13,Married,Service,Husband,White,Male,4477,672,26,United-States,<=50K
57,Private,277291,Bachelors,10,Married,Exec,Husband,White,Male,2185,516,8,India,<=50K
29,Government,60508,PhD,9,Married,Sales,Own-child,White,Male,7086,2532,73,Canada,<=50K
19,Private,324368,Masters,4,Single,Admin,Not-in-family,White,Female,2317,3670,4,Mexico,<=50K
28,Private,291787,HS-grad,14,Married,Admin,Husband,White,Female,3621,781,21,India,<=50K
61,Government,311111,Masters,12,Single,Admin,Wife,Black,Female,4491,3523,31,Canada,<=50K
45,Private,113535,Some-college,9,Married,Sales,Own-child,Asian,Female,2511,3558,21,India,<=50K
35,Government,312877,PhD,3,Divorced,Admin,Husband,White,Male,7842,2386,25,Canada,<=50K
30,Self-emp,487219,Masters,7,Married,Sales,Husband,White,Female,8641,4782,15,India,<=50K
54,Private,306952,Bachelors,7,Married,Admin,Wife,Other,Female,9546,1589,35,Canada,<=50K
39,Self-emp,208360,Some-college,15,Divorced,Service,Wife,Black,Female,7848,4995,49,India,<=50K
29,Government,68959,Some-college,11,Single,Service,Own-child,Black,Male,5404,1501,43,Canada,<=50K
19,Self-emp,405065,Masters,8,Single,Sales,Own-child,Asian,Female,5393,3794,41,India,<=50K
54,Self-emp,340322,Masters,10,Married,Service,Wife,Black,Female,1293,4318,37,Mexico,<=50K
24,Government,208208,PhD,15,Divorced,Sales,Own-child,Other,Male,2465,3080,57,Mexico,<=50K
43,Self-emp,201812,HS-grad,4,Single,Service,Wife,Other,Female,3175,1076,42,United-States,<=50K
43,Self-emp,122255,Masters,3,Married,Service,Husband,Asian,Female,7849,1100,47,Canada,<=50K
41,Government,96322,Masters,3,Divorced,Sales,Wife,Other,Male,9425,502,61,India,<=50K
29,Self-emp,316709,Bachelors,15,Single,Exec,Wife,White,Female,9629,1339,14,Canada,<=50K
33,Government,423399,Some-college,12,Single,Service,Not-in-family,White,Female,8444,3885,68,Mexico,<=50K
40,Self-emp,11132,HS-grad,5,Divorced,Admin,Wife,Other,Female,8210,623,53,Canada,<=50K
57,Government,179331,Bachelors,11,Divorced,Exec,Wife,Asian,Male,2759,1886,34,India,<=50K
26,Government,237684,PhD,15,Divorced,Sales,Not-in-family,Black,Female,5255,3350,76,Canada,<=50K
49,Self-emp,335812,PhD,14,Divorced,Exec,Own-child,Asian,Female,8414,1050,24,India,<=50K
32,Self-emp,269427,Masters,1,Married,Tech,Not-in-family,Black,Male,2,3772,20,Mexico,<=50K
54,Self-emp,441779,Masters,10,Divorced,Tech,Husband,Other,Male,8130,3916,69,Mexico,<=50K
30,Private,495443,PhD,3,Single,Service,Not-in-family,Other,Female,1259,4018,30,Mexico,<=50K
22,Private,118835,Masters,14,Single,Service,Husband,White,Female,8190,1329,7,United-States,<=50K
28,Private,152003,HS-grad,6,Married,Admin,Own-child,Black,Female,4323,4114,36,Mexico,<=50K
27,Government,268228,Masters,3,Single,Exec,Not-in-family,Asian,Female,5773,3367,38,Canada,<=50K
69,Self-emp,83169,Some-college,5,Single,Tech,Not-in-family,Other,Male,2568,3951,52,United-States,<=50K
30,Government,270529,Masters,9,Divorced,Service,Own-child,Asian,Female,1885,2497,15,Mexico,<=50K
58,Private,453855,Bachelors,2,Single,Exec,Husband,White,Male,7060,1573,46,Canada,<=50K
63,Self-emp,263608,HS-grad,11,Married,Service,Not-in-family,Black,Male,7844,2634,23,Canada,<=50K
67,Government,244385,Bachelors,2,Divorced,Service,Husband,Black,Female,6111,2768,12,Canada,<=50K
32,Self-emp,199973,Bachelors,12,Divorced,Tech,Not-in-family,Other,Female,9491,1211,44,India,<=50K
59,Government,110417,Some-college,6,Married,Tech,Wife,Black,Male,2338,775,15,United-States,<=50K
24,Self-emp,11044,HS-grad,6,Divorced,Service,Not-in-family,Other,Male,9268,1160,49,Canada,<=50K
57,Private,187763,HS-grad,11,Divorced,Sales,Own-child,White,Female,3758,2383,21,India,<=50K
45,Private,241807,HS-grad,11,Married,Service,Own-child,Black,Male,4810,2654,15,Mexico,<=50K
49,Self-emp,34363,HS-grad,8,Divorced,Service,Husband,Other,Female,9139,3540,14,Canada,<=50K
52,Government,318838,HS-grad,12,Married,Admin,Not-in-family,Asian,Female,6791,4697,42,India,>50K
32,Private,404798,Some-college,13,Married,Admin,Husband,Other,Male,7171,4635,15,Canada,<=50K
65,Private,483126,Masters,11,Single,Admin,Husband,Black,Male,2731,1095,63,United-States,>50K
53,Private,470060,Bachelors,14,Single,Sales,Wife,White,Female,869,23,68,United-States,>50K
38,Self-emp,293445,HS-grad,2,Divorced,Sales,Wife,Black,Male,5166,4719,27,Mexico,<=50K
23,Self-emp,346473,Masters,9,Divorced,Service,Own-child,Black,Female,93,3556,53,Canada,<=50K
18,Government,11620,Masters,15,Married,Admin,Husband,Other,Female,2987,1079,52,India,<=50K
21,Government,334368,Bachelors,2,Divorced,Sales,Own-child,Asian,Female,9967,4318,63,Mexico,<=50K
28,Government,459871,Some-college,13,Married,Tech,Not-in-family,Black,Male,8627,178,73,Canada,<=50K
61,Self-emp,105419,PhD,1,Married,Service,Husband,Asian,Female,4947,2847,53,Mexico,<=50K
43,Self-emp,178606,PhD,10,Divorced,Exec,Husband,Other,Female,6651,1960,57,India,<=50K
54,Government,392194,Masters,2,Married,Service,Not-in-family,Asian,Female,6979,1473,52,Mexico,<=50K
40,Government,442606,Bachelors,12,Single,Exec,Not-in-family,Other,Female,6794,4888,43,Mexico,<=50K
46,Self-emp,212701,PhD,7,Divorced,Admin,Own-child,White,Female,6524,4979,7,Mexico,<=50K
38,Government,328000,Masters,8,Single,Exec,Own-child,Asian,Female,3144,1212,42,Canada,<=50K
65,Private,190324,Some-college,5,Divorced,Admin,Not-in-family,Asian,Female,3587,809,4,India,<=50K
62,Self-emp,327953,PhD,6,Married,Tech,Own-child,White,Female,76,419,69,United-States,<=50K
62,Government,32259,Masters,12,Divorced,Exec,Not-in-family,Asian,Female,9007,3659,5,Canada,<=50K
66,Self-emp,30655,Masters,1,Single,Service,Husband,White,Female,8959,3816,75,United-States,<=50K
44,Private,436221,HS-grad,15,Married,Admin,Husband,Black,Female,6553,1278,41,United-States,>50K
56,Self-emp,434845,Some-college,6,Divorced,Service,Wife,Other,Male,8297,2523,4,Canada,<=50K
57,Self-emp,426826,HS-grad,12,Divorced,Sales,Husband,White,Female,6694,1440,2,Canada,<=50K
30,Self-emp,460400,Bachelors,15,Divorced,Admin,Not-in-family,Asian,Female,2873,1340,67,India,<=50K
40,Self-emp,31602,HS-grad,8,Single,Exec,Own-child,White,Female,3346,2221,21,India,<=50K
33,Private,358089,HS-grad,13,Single,Admin,Wife,Asian,Male,7024,2392,70,Mexico,<=50K
47,Self-emp,152182,PhD,3,Divorced,Service,Own-child,Black,Female,3148,1361,43,United-States,<=50K
21,Self-emp,409289,Masters,11,Married,Tech,Not-in-family,White,Male,9657,591,69,India,<=50K
57,Government,372990,Some-college,1,Married,Admin,Husband,Black,Female,244,526,9,Mexico,<=50K
33,Self-emp,352962,HS-grad,11,Single,Exec,Wife,Other,Female,2625,2503,28,India,<=50K
48,Government,413411,Some-college,4,Married,Sales,Not-in-family,Asian,Male,3849,1292,26,Canada,<=50K
59,Private,11537,HS-grad,1,Single,Tech,Wife,Asian,Female,9597,1654,3,India,<=50K
42,Private,420354,Bachelors,14,Divorced,Sales,Wife,Black,Male,9173,4906,73,United-States,>50K
61,Private,447544,HS-grad,8,Single,Admin,Husband,Other,Male,7737,187,49,India,<=50K
29,Private,266210,PhD,5,Single,Service,Not-in-family,White,Female,8333,2758,17,United-States,<=50K
43,Government,187274,Masters,1,Divorced,Service,Own-child,White,Female,892,528,63,Canada,<=50K
54,Self-emp,181236,Bachelors,14,Married,Exec,Wife,Asian,Female,5487,433,55,United-States,>50K
65,Private,398689,HS-grad,8,Single,Service,Wife,Black,Female,7251,3512,23,India,<=50K
50,Self-emp,99743,Some-college,9,Single,Tech,Own-child,Black,Male,7310,1804,34,Mexico,<=50K
45,Government,457875,Bachelors,10,Divorced,Service,Not-in-family,White,Male,2399,302,69,Canada,<=50K
26,Government,96155,Bachelors,2,Married,Exec,Wife,Other,Female,4640,4182,15,India,<=50K
29,Government,452908,HS-grad,9,Single,Admin,Wife,Other,Male,2960,437,47,Canada,<=50K
22,Private,392342,Bachelors,8,Divorced,Admin,Wife,White,Male,7325,2588,3,Canada,<=50K
69,Self-emp,428061,Some-college,7,Single,Service,Not-in-family,White,Female,1469,832,28,India,<=50K
45,Self-emp,99846,Bachelors,3,Divorced,Sales,Not-in-family,Black,Male,3374,796,3,India,<=50K
52,Self-emp,244507,Some-college,2,Married,Admin,Own-child,Other,Male,8847,559,4,Mexico,<=50K
22,Government,302706,HS-grad,7,Married,Service,Not-in-family,White,Female,8234,3588,31,Canada,<=50K
51,Private,300180,Masters,15,Married,Exec,Not-in-family,White,Male,7923,761,45,Canada,>50K
63,Government,201824,Bachelors,5,Married,Service,Husband,Asian,Female,5122,3574,59,India,<=50K
51,Government,346377,Masters,6,Single,Admin,Own-child,White,Male,9852,3785,45,United-States,<=50K
30,Self-emp,93049,Some-college,4,Single,Exec,Wife,White,Female,5387,2514,75,India,<=50K
56,Government,249647,Bachelors,2,Married,Service,Not-in-family,Other,Male,7631,684,37,Canada,<=50K
59,Self-emp,340825,PhD,9,Married,Tech,Wife,Black,Male,7226,4233,65,India,<=50K
62,Private,299962,Masters,3,Married,Exec,Wife,Other,Female,5108,577,9,Mexico,<=50K
65,Self-emp,433760,Bachelors,12,Single,Tech,Husband,Black,Female,2224,4805,17,United-States,<=50K
31,Private,334676,Masters,14,Married,Sales,Not-in-family,Asian,Female,2110,227,65,India,<=50K
28,Self-emp,481852,Bachelors,7,Married,Exec,Own-child,White,Female,957,2328,3,Mexico,<=50K
59,Government,329849,HS-grad,14,Married,Tech,Not-in-family,Asian,Male,7146,2731,26,Canada,<=50K
55,Government,30104,Masters,8,Divorced,Admin,Wife,Black,Male,560,827,53,India,<=50K
21,Private,396480,PhD,2,Married,Admin,Own-child,Other,Male,9522,430,31,Canada,<=50K
50,Private,137904,PhD,14,Divorced,Sales,Not-in-family,Other,Female,7413,1063,26,Mexico,<=50K
24,Private,341747,Some-college,6,Divorced,Exec,Wife,Asian,Male,1312,1709,23,Canada,<=50K
58,Self-emp,112499,Bachelors,11,Married,Exec,Wife,Black,Male,1821,1234,30,Mexico,<=50K
25,Self-emp,331169,Masters,8,Divorced,Exec,Husband,Asian,Female,5646,301,10,Mexico,<=50K
54,Private,237336,Some-college,7,Married,Sales,Husband,Asian,Female,4945,1420,72,Mexico,<=50K
68,Government,304461,Masters,11,Single,Exec,Husband,White,Male,5374,4628,64,India,>50K
27,Self-emp,434632,Bachelors,3,Single,Admin,Wife,Asian,Female,2651,768,22,Canada,<=50K
60,Self-emp,183084,PhD,1,Single,Tech,Not-in-family,White,Male,9933,1404,15,Canada,<=50K
32,Self-emp,377729,HS-grad,14,Single,Admin,Husband,White,Male,4701,443,56,United-States,<=50K
55,Private,471261,PhD,6,Divorced,Admin,Not-in-family,Other,Female,2877,3104,74,United-States,<=50K
32,Private,162472,Some-college,8,Married,Tech,Husband,White,Male,5582,4355,20,United-States,<=50K
22,Private,320414,HS-grad,6,Married,Admin,Own-child,White,Female,5390,3305,47,United-States,<=50K
46,Private,213141,Some-college,5,Married,Sales,Own-child,Other,Female,4083,1538,53,Canada,<=50K
36,Private,129415,Bachelors,11,Single,Tech,Husband,Asian,Male,745,3930,53,Mexico,<=50K
68,Government,453049,HS-grad,12,Single,Admin,Wife,Black,Male,8749,1331,1,Mexico,<=50K
27,Government,204716,Some-college,8,Married,Service,Husband,Black,Male,941,69,2,India,<=50K
29,Private,90206,Bachelors,2,Single,Admin,Husband,Black,Female,4023,3435,58,Mexico,<=50K
21,Self-emp,341612,PhD,15,Married,Sales,Wife,Asian,Male,2296,480,19,Canada,<=50K
48,Private,200545,Bachelors,12,Married,Exec,Own-child,White,Female,939,4094,62,Canada,>50K
35,Government,449025,Masters,15,Married,Admin,Not-in-family,Black,Female,1610,3496,78,Canada,<=50K
33,Government,441544,Bachelors,1,Married,Exec,Husband,Asian,Male,6300,2793,72,India,<=50K
57,Self-emp,440000,Bachelors,1,Married,Service,Wife,White,Female,1725,2892,12,United-States,<=50K
53,Government,33723,Masters,15,Married,Admin,Husband,Other,Male,9176,1198,26,Mexico,<=50K
42,Private,332790,Some-college,14,Married,Tech,Wife,Black,Male,9779,2372,27,Canada,<=50K
40,Self-emp,207327,Some-college,4,Single,Exec,Not-in-family,White,Male,9528,1892,29,Canada,<=50K
29,Private,10074,Bachelors,6,Married,Service,Not-in-family,Black,Male,8853,1883,15,United-States,<=50K
51,Private,265245,Masters,13,Married,Tech,Own-child,Black,Male,7187,797,46,Canada,>50K
53,Self-emp,298642,Masters,9,Single,Tech,Wife,Black,Male,32,17,1,Mexico,<=50K
54,Private,206594,PhD,1,Single,Tech,Wife,White,Male,5985,43,60,India,<=50K
20,Government,106881,Some-college,12,Single,Tech,Own-child,Asian,Female,3414,154,57,Canada,<=50K
26,Private,423757,HS-grad,1,Married,Admin,Own-child,White,Male,1156,4962,3,Mexico,<=50K
35,Self-emp,55929,Some-college,13,Divorced,Admin,Wife,Black,Female,3126,3448,18,Canada,<=50K
60,Self-emp,133199,Some-college,13,Divorced,Admin,Own-child,White,Female,8252,4838,52,United-States,>50K
52,Self-emp,241525,PhD,5,Single,Service,Not-in-family,Other,Female,1543,4080,60,Canada,<=50K
51,Private,298172,HS-grad,10,Divorced,Service,Husband,Asian,Male,271,1425,34,Canada,<=50K
58,Self-emp,39545,PhD,5,Single,Service,Not-in-family,White,Female,5295,4320,60,India,<=50K
31,Self-emp,89569,HS-grad,5,Married,Sales,Own-child,Other,Female,4076,4312,26,United-States,<=50K
21,Private,41673,Bachelors,10,Divorced,Service,Wife,Asian,Male,5902,3639,72,United-States,<=50K
46,Government,434190,HS-grad,6,Married,Admin,Wife,Other,Male,2709,4126,19,India,<=50K
58,Private,462115,PhD,8,Divorced,Admin,Not-in-family,Asian,Female,9346,1892,22,Canada,<=50K
62,Self-emp,426313,Some-college,3,Married,Sales,Wife,White,Male,5221,897,33,Mexico,<=50K
67,Self-emp,374655,HS-grad,9,Divorced,Sales,Own-child,Other,Male,9937,3424,38,United-States,<=50K
32,Private,365288,HS-grad,13,Married,Service,Not-in-family,Black,Male,8529,4540,35,United-States,<=50K
45,Government,336968,Masters,1,Married,Exec,Wife,Other,Male,6722,1258,67,Canada,<=50K
59,Self-emp,33525,Some-college,4,Divorced,Sales,Husband,Asian,Female,8201,2015,10,Canada,<=50K
33,Self-emp,67804,Bachelors,9,Married,Tech,Husband,White,Male,4144,4833,15,United-States,<=50K
29,Self-emp,156115,PhD,15,Married,Admin,Own-child,Asian,Male,5606,1702,11,Canada,<=50K
69,Private,51846,Bachelors,14,Married,Tech,Wife,Other,Male,6766,873,24,Mexico,<=50K
22,Self-emp,87261,Some-college,8,Divorced,Admin,Own-child,Other,Female,730,565,77,United-States,<=50K
51,Government,243312,HS-grad,10,Divorced,Admin,Not-in-family,Black,Female,4890,2018,4,Mexico,<=50K
59,Self-emp,453443,HS-grad,9,Married,Sales,Husband,White,Male,1648,1885,13,Mexico,<=50K
18,Self-emp,194100,Some-college,1,Married,Sales,Not-in-family,White,Male,4228,2123,73,Canada,<=50K
56,Government,440599,HS-grad,9,Divorced,Tech,Wife,Other,Female,2130,4642,57,Mexico,<=50K
49,Self-emp,301627,HS-grad,3,Divorced,Admin,Own-child,White,Male,4366,2314,37,Canada,<=50K
43,Private,17265,HS-grad,11,Married,Tech,Own-child,Black,Male,1506,4412,48,India,>50K
34,Private,294907,PhD,12,Married,Exec,Own-child,Asian,Female,2158,3883,71,Canada,<=50K
65,Private,216724,PhD,10,Married,Tech,Not-in-family,White,Male,2916,3192,1,Mexico,<=50K
44,Government,25733,Masters,9,Single,Service,Husband,Other,Male,3229,1859,60,India,<=50K
41,Self-emp,384340,Bachelors,1,Divorced,Tech,Not-in-family,Asian,Female,9858,24,12,Canada,<=50K
52,Private,101038,Some-college,1,Single,Service,Not-in-family,Asian,Female,6265,3503,21,Mexico,<=50K
63,Government,309564,Some-college,9,Divorced,Service,Wife,Black,Male,4136,4255,11,United-States,<=50K
59,Self-emp,150319,Some-college,11,Divorced,Service,Wife,Other,Female,2689,1137,44,United-States,>50K
56,Government,427056,Masters,14,Divorced,Exec,Wife,White,Male,7190,4995,58,Canada,>50K
43,Private,468365,PhD,6,Divorced,Tech,Husband,Other,Male,2810,1189,44,Canada,<=50K
66,Private,31058,Masters,4,Divorced,Tech,Husband,Asian,Male,6152,4798,78,United-States,<=50K
55,Private,256301,Some-college,7,Divorced,Exec,Wife,Other,Female,12,4096,34,Mexico,<=50K
40,Government,307073,Bachelors,5,Divorced,Admin,Wife,White,Female,5938,3157,25,Mexico,<=50K
39,Government,487387,HS-grad,10,Single,Sales,Husband,White,Male,7999,2367,4,Mexico,<=50K
21,Private,494380,PhD,14,Married,Tech,Own-child,Black,Male,7219,4477,64,Canada,<=50K
66,Government,172434,PhD,7,Married,Sales,Husband,White,Female,5328,1741,16,India,<=50K
26,Private,96489,Masters,8,Single,Exec,Husband,White,Female,3621,3688,10,India,<=50K
21,Private,94664,PhD,8,Single,Admin,Husband,Other,Female,3683,3746,66,India,<=50K
24,Self-emp,188428,Some-college,1,Single,Admin,Wife,Other,Male,7872,897,35,India,<=50K
40,Government,87597,Some-college,8,Single,Admin,Own-child,Asian,Female,5310,4023,6,India,<=50K
19,Private,278185,Masters,6,Divorced,Exec,Husband,Black,Female,652,716,19,Canada,<=50K
66,Private,88209,Some-college,4,Married,Service,Wife,Other,Male,5799,3967,59,Canada,<=50K
41,Government,268109,Bachelors,13,Divorced,Service,Not-in-family,White,Male,8812,4021,53,India,>50K
57,Self-emp,465170,Masters,14,Married,Sales,Not-in-family,Asian,Male,3790,3215,8,Canada,<=50K
48,Self-emp,202941,Bachelors,12,Married,Service,Husband,Other,Female,1645,390,78,Canada,>50K
64,Private,162131,HS-grad,8,Single,Service,Not-in-family,Black,Male,4512,3884,10,India,<=50K
48,Government,109864,Bachelors,3,Divorced,Admin,Own-child,Black,Male,4759,1699,67,Mexico,<=50K
64,Self-emp,447938,HS-grad,13,Single,Admin,Not-in-family,Asian,Male,5874,3037,38,Canada,<=50K
57,Government,158620,HS-grad,4,Divorced,Sales,Not-in-family,Asian,Male,3688,232,29,Mexico,<=50K
65,Government,418294,Bachelors,15,Married,Tech,Own-child,Asian,Female,7689,1926,15,Canada,<=50K
68,Private,408635,Masters,6,Single,Sales,Husband,Asian,Male,1379,3131,23,Canada,<=50K
60,Self-emp,176562,Some-college,11,Single,Sales,Husband,Asian,Female,4243,3306,46,India,>50K
51,Private,217158,Some-college,7,Married,Exec,Own-child,White,Female,9580,2724,28,Canada,<=50K
41,Self-emp,125158,HS-grad,4,Married,Exec,Own-child,White,Female,6507,4801,26,United-States,<=50K
66,Self-emp,461976,HS-grad,4,Married,Sales,Own-child,Other,Male,7819,233,10,United-States,<=50K
43,Self-emp,433553,Masters,7,Single,Sales,Not-in-family,Black,Female,8593,1391,47,India,<=50K
33,Self-emp,11468,PhD,6,Divorced,Sales,Own-child,White,Male,2653,2892,4,Mexico,<=50K
64,Self-emp,296453,Bachelors,13,Single,Service,Wife,White,Male,5611,1255,55,Mexico,>50K
30,Government,469560,HS-grad,11,Divorced,Exec,Not-in-family,White,Male,6127,2538,66,Mexico,<=50K
32,Private,493499,Some-college,8,Single,Sales,Husband,Other,Female,3923,3690,67,United-States,<=50K
44,Government,82255,Masters,1,Single,Admin,Husband,Asian,Male,8459,889,7,Mexico,<=50K
21,Self-emp,268078,Bachelors,10,Married,Admin,Husband,Other,Male,5912,4687,55,Mexico,<=50K
